"","provincia","accidentes_victimas","accidentes_mortales","fallecidos","heridos_hospitalizados","heridos_no_hospitalizados","tipo_via","año"
"232","León",359,7,7,74,371,"Vias urbanas",2017
"233","Lleida",449,2,2,62,522,"Vias urbanas",2017
"234","Rioja (La)",449,3,3,43,499,"Vias urbanas",2017
"235","Lugo",216,4,4,37,273,"Vias urbanas",2017
"236","Madrid",13011,49,49,1094,15105,"Vias urbanas",2017
"237","Málaga",1256,25,26,99,1474,"Vias urbanas",2017
"238","Murcia",1990,32,34,138,2517,"Vias urbanas",2017
"239","Navarra",594,12,12,60,672,"Vias urbanas",2017
"240","Ourense",216,4,4,44,231,"Vias urbanas",2017
"241","Asturias",1280,8,8,73,1576,"Vias urbanas",2017
"242","Palencia",95,0,0,11,108,"Vias urbanas",2017
"243","Palmas (Las)",519,6,6,30,675,"Vias urbanas",2017
"244","Pontevedra",517,10,10,45,647,"Vias urbanas",2017
"245","Salamanca",253,2,2,29,305,"Vias urbanas",2017
"246","Santa Cruz de Tenerife",1106,11,12,122,1267,"Vias urbanas",2017
"247","Cantabria",121,8,8,12,139,"Vias urbanas",2017
"248","Segovia",90,1,1,15,113,"Vias urbanas",2017
"249","Sevilla",3497,19,19,142,4671,"Vias urbanas",2017
"250","Soria",30,2,2,9,24,"Vias urbanas",2017
"251","Tarragona",863,12,16,97,973,"Vias urbanas",2017
"252","Teruel",28,4,4,5,20,"Vias urbanas",2017
"253","Toledo",197,2,2,16,233,"Vias urbanas",2017
"254","Valencia/València",2610,23,23,246,2858,"Vias urbanas",2017
"255","Valladolid",570,9,9,43,682,"Vias urbanas",2017
"256","Bizkaia",1041,7,7,60,1282,"Vias urbanas",2017
"257","Zamora",71,1,1,7,71,"Vias urbanas",2017
"258","Zaragoza",977,10,10,142,1105,"Vias urbanas",2017
"259","Ceuta",366,1,1,20,543,"Vias urbanas",2017
"260","Melilla",466,2,2,14,606,"Vias urbanas",2017
"261","Araba/Álava",272,8,9,70,352,"Vias interurbanas",2017
"262","Albacete",165,12,14,49,207,"Vias interurbanas",2017
"263","Alicante/Alacant",1285,38,39,139,1860,"Vias interurbanas",2017
"264","Almería",596,17,17,81,976,"Vias interurbanas",2017
"265","Ávila",231,11,11,30,297,"Vias interurbanas",2017
"266","Badajoz",363,26,28,83,493,"Vias interurbanas",2017
"267","Balears (Illes)",1544,46,51,244,2048,"Vias interurbanas",2017
"268","Barcelona",5622,72,82,391,8065,"Vias interurbanas",2017
"269","Burgos",317,21,25,64,407,"Vias interurbanas",2017
"270","Cáceres",291,20,25,45,417,"Vias interurbanas",2017
"271","Cádiz",672,21,23,91,1072,"Vias interurbanas",2017
"272","Castellón/Castelló",514,21,24,83,659,"Vias interurbanas",2017
"273","Ciudad Real",303,25,29,38,400,"Vias interurbanas",2017
"274","Córdoba",441,24,28,55,610,"Vias interurbanas",2017
"275","Coruña (A)",1055,33,37,198,1354,"Vias interurbanas",2017
"276","Cuenca",192,14,16,52,228,"Vias interurbanas",2017
"277","Girona",1255,28,34,111,1731,"Vias interurbanas",2017
"278","Granada",801,21,26,93,1219,"Vias interurbanas",2017
"279","Guadalajara",190,11,11,32,252,"Vias interurbanas",2017
"280","Gipuzkoa",779,15,19,121,934,"Vias interurbanas",2017
"281","Huelva",451,15,16,63,752,"Vias interurbanas",2017
"282","Huesca",318,21,23,84,391,"Vias interurbanas",2017
"283","Jaén",398,30,31,45,559,"Vias interurbanas",2017
"284","León",500,15,15,93,654,"Vias interurbanas",2017
"285","Lleida",942,36,38,139,1272,"Vias interurbanas",2017
"286","Rioja (La)",260,18,23,34,341,"Vias interurbanas",2017
"287","Lugo",331,18,18,70,400,"Vias interurbanas",2017
"288","Madrid",3237,67,76,210,4531,"Vias interurbanas",2017
"289","Málaga",779,39,41,123,1142,"Vias interurbanas",2017
